transaction_id,person_id,amount,currency,transaction_date,category,status
TXN001,1,150.50,EUR,2024-01-15 10:30:00,Alimentation,completed
TXN002,1,89.99,EUR,2024-01-16 14:22:00,Loisirs,completed
TXN003,2,245.00,EUR,2024-01-15 09:15:00,Shopping,completed
TXN004,3,32.50,EUR,2024-01-17 16:45:00,Transport,completed
TXN005,4,520.00,EUR,2024-01-18 11:00:00,Logement,pending
TXN006,5,78.30,EUR,2024-01-15 13:30:00,Alimentation,completed
TXN007,2,199.99,EUR,2024-01-19 15:20:00,Electronique,failed
TXN008,6,45.00,EUR,2024-01-20 10:00:00,Restaurant,completed
TXN009,7,1250.00,EUR,2024-01-21 09:30:00,Voyage,completed
TXN010,8,67.80,EUR,2024-01-15 17:45:00,Sante,completed
TXN011,9,890.00,EUR,2024-01-22 14:00:00,Shopping,pending
TXN012,10,23.50,EUR,2024-01-16 08:30:00,Transport,completed
TXN013,1,156.00,EUR,2024-01-23 12:15:00,Alimentation,completed
TXN014,11,450.00,EUR,2024-01-24 16:00:00,Electronique,completed
TXN015,12,89.00,EUR,2024-01-17 11:30:00,Loisirs,completed
TXN016,13,2100.00,EUR,2024-01-25 10:45:00,Logement,completed
TXN017,14,34.90,EUR,2024-01-18 15:00:00,Restaurant,failed
TXN018,15,678.00,EUR,2024-01-26 09:00:00,Voyage,completed
TXN019,3,112.50,EUR,2024-01-19 14:30:00,Shopping,completed
TXN020,16,56.00,EUR,2024-01-27 11:15:00,Sante,completed
TXN021,17,189.99,EUR,2024-01-20 16:45:00,Electronique,completed
TXN022,18,42.30,EUR,2024-01-28 08:00:00,Transport,completed
TXN023,19,320.00,EUR,2024-01-21 13:00:00,Loisirs,pending
TXN024,20,95.50,EUR,2024-01-29 10:30:00,Alimentation,completed
TXN025,4,1500.00,EUR,2024-01-22 15:45:00,Voyage,completed
TXN026,21,67.00,EUR,2024-01-30 12:00:00,Restaurant,completed
TXN027,22,234.00,EUR,2024-01-23 09:15:00,Shopping,completed
TXN028,23,78.90,EUR,2024-01-31 14:30:00,Sante,failed
TXN029,24,145.00,EUR,2024-01-24 11:00:00,Alimentation,completed
TXN030,25,890.00,EUR,2024-02-01 16:00:00,Electronique,completed
